cohort,final_req_type,n,pct
abandoned,bug_expectation,28,3.0
abandoned,compatibility,235,25.3
abandoned,documentation,8,0.9
abandoned,feature,511,55.1
abandoned,performance,65,7.0
abandoned,quality,5,0.5
abandoned,security,26,2.8
abandoned,unclear,29,3.1
abandoned,usability,21,2.3
active,bug_expectation,1303,11.5
active,compatibility,3699,32.6
active,documentation,515,4.5
active,feature,3448,30.4
active,performance,1058,9.3
active,quality,9,0.1
active,security,651,5.7
active,unclear,404,3.6
active,usability,252,2.2
