metric,cohort,n,mean,sd,median,min,max,ttest_p_DESCRIPTIVE_ONLY
requirement_issues,abandoned,2136,0.427,1.54,0.0,0.0,20.0,0.0
requirement_issues,active,2136,5.177,11.722,1.0,0.0,156.0,0.0
requirement_ratio,abandoned,1182,0.139,0.264,0.0,0.0,1.0,0.0
requirement_ratio,active,1750,0.352,0.321,0.277,0.0,1.0,0.0
ignored_requirement_ratio,abandoned,378,0.309,0.418,0.0,0.0,1.0,0.0
ignored_requirement_ratio,active,1293,0.192,0.277,0.0,0.0,1.0,0.0
avg_actionability_score,abandoned,378,1.547,0.71,1.69,0.0,3.0,0.0
avg_actionability_score,active,1293,1.848,0.587,2.0,0.0,4.0,0.0
avg_vagueness_density,abandoned,378,0.002,0.005,0.0,0.0,0.053,0.1389
avg_vagueness_density,active,1293,0.001,0.003,0.0,0.0,0.025,0.1389
roadmap_issue_ratio,abandoned,378,0.007,0.077,0.0,0.0,1.0,0.0
roadmap_issue_ratio,active,1293,0.112,0.256,0.0,0.0,1.0,0.0
avg_first_response_hours,abandoned,292,804.806,1498.997,123.014,0.008,8760.0,0.01
avg_first_response_hours,active,1220,1068.737,1827.224,204.879,0.001,8760.0,0.01
avg_discussion_depth,abandoned,378,1.577,1.778,1.0,0.0,13.0,0.0
avg_discussion_depth,active,1293,2.298,2.171,1.857,0.0,20.0,0.0
monthly_commits,abandoned,2136,16.177,103.608,0.0,0.0,1251.0,0.0
monthly_commits,active,2136,47.87,124.102,13.0,0.0,1244.0,0.0
